goalie_id,current_team,first_name,last_name,position,photo,games_played,wins,losses,ties,otLosses,shutouts,goalsAgainstAvg,savePctg
8482221,7.0,Devon,Levi,G,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482221.png,21,9,8,0.0,2,0,3.241418,0.89404
8480193,29.0,Daniil,Tarasov,G,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8480193.png,21,7,10,0.0,3,0,3.239236,0.904149
8480199,28.0,Eetu,Makiniemi,G,https://assets.nhle.com/mugs/nhl/20232024/SJS/8480199.png,2,1,0,,1,0,2.134387,0.90625
8479193,23.0,Casey,DeSmith,G,https://assets.nhle.com/mugs/nhl/20232024/VAN/8479193.png,25,11,6,0.0,6,1,2.734891,0.899054
8474593,20.0,Jacob,Markstrom,G,https://assets.nhle.com/mugs/nhl/20232024/CGY/8474593.png,43,22,19,0.0,2,2,2.701208,0.908507
8474596,1.0,Jake,Allen,G,https://assets.nhle.com/mugs/nhl/20232024/NJD/8474596.png,27,10,14,0.0,3,0,3.39044,0.899549
8473575,2.0,Semyon,Varlamov,G,https://assets.nhle.com/mugs/nhl/20232024/NYI/8473575.png,21,8,7,0.0,4,2,2.862742,0.910112
8480238,54.0,Jiri,Patera,G,https://assets.nhle.com/mugs/nhl/20232024/VGK/8480238.png,6,1,3,0.0,1,0,3.977691,0.892857
8467950,,Craig,Anderson,G,https://assets.nhle.com/mugs/nhl/latest/8467950.png,26,11,11,,2,1,3.060334,0.907655
8477180,26.0,Aaron,Dell,G,https://assets.nhle.com/mugs/nhl/20232024/LAK/8477180.png,4,0,3,,0,0,2.70971,0.912621
