player_id,current_team,first_name,last_name,position,photo,games_played,goals,assists,points,plus_minus,pim,game_winning_goals,ot_goals,shots,shooting_pctg,power_play_goals,power_play_points,shorthanded_goals,shorthanded_points
8470610,21.0,Zach,Parise,L,https://assets.nhle.com/mugs/nhl/20232024/COL/8470610.png,20,4,4,8,0,4,1,0,36,0.111111,0,1,0,0
8470613,12.0,Brent,Burns,D,https://assets.nhle.com/mugs/nhl/20232024/CAR/8470613.png,73,10,29,39,16,18,0,0,167,0.05988,4,17,1,1
8474709,2.0,Matt,Martin,L,https://assets.nhle.com/mugs/nhl/20232024/NYI/8474709.png,46,3,4,7,7,36,0,0,39,0.076923,0,0,0,0
8480855,53.0,Jack,McBain,C,https://assets.nhle.com/mugs/nhl/20232024/ARI/8480855.png,57,7,13,20,4,41,2,1,46,0.152174,0,0,0,0
8480853,18.0,Liam,Foudy,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8480853.png,13,0,3,3,-2,2,0,0,7,0.0,0,0,0,0
8474716,30.0,Jared,Spurgeon,D,https://assets.nhle.com/mugs/nhl/20232024/MIN/8474716.png,16,0,5,5,5,2,0,0,21,0.0,0,3,0,0
8470621,22.0,Corey,Perry,R,https://assets.nhle.com/mugs/nhl/20232024/EDM/8470621.png,42,10,8,18,-4,42,2,0,64,0.15625,3,4,0,0
8480860,1.0,Kevin,Bahl,D,https://assets.nhle.com/mugs/nhl/20232024/NJD/8480860.png,73,1,10,11,3,57,1,0,58,0.017241,0,0,0,0
8480863,14.0,Gabriel,Fortier,L,https://assets.nhle.com/mugs/nhl/20232024/TBL/8480863.png,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
8480865,2.0,Noah,Dobson,D,https://assets.nhle.com/mugs/nhl/20232024/NYI/8480865.png,71,8,57,65,7,32,2,0,163,0.04908,1,24,0,1
8480870,24.0,Bo,Groulx,C,https://assets.nhle.com/mugs/nhl/20232024/ANA/8480870.png,41,0,2,2,-6,20,0,0,31,0.0,0,0,0,0
8480871,29.0,Adam,Boqvist,D,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8480871.png,35,1,9,10,-8,0,0,0,45,0.022222,0,4,0,0
8480873,15.0,Rasmus,Sandin,D,https://assets.nhle.com/mugs/nhl/20232024/WSH/8480873.png,63,3,20,23,-7,20,1,0,76,0.039474,0,5,0,0
8480874,4.0,Adam,Ginning,D,https://assets.nhle.com/mugs/nhl/20232024/PHI/8480874.png,6,0,0,0,1,0,0,0,5,0.0,0,0,0,0
8476779,21.0,Brad,Hunt,D,https://assets.nhle.com/mugs/nhl/20232024/COL/8476779.png,47,4,6,10,4,12,0,0,46,0.086957,0,0,0,0
8480878,25.0,Nils,Lundkvist,D,https://assets.nhle.com/mugs/nhl/20232024/DAL/8480878.png,50,2,16,18,14,16,0,0,66,0.030303,0,2,0,0
8470638,,Patrice,Bergeron,C,https://assets.nhle.com/mugs/nhl/latest/8470638.png,78,27,31,58,35,22,7,0,249,0.108434,9,19,2,2
8480880,6.0,Jakub,Lauko,C,https://assets.nhle.com/mugs/nhl/20232024/BOS/8480880.png,53,2,6,8,-5,32,0,0,35,0.057143,0,0,0,0
8478831,13.0,Kevin,Stenlund,C,https://assets.nhle.com/mugs/nhl/20232024/FLA/8478831.png,71,10,4,14,-8,58,3,0,70,0.142857,0,0,1,1
8480879,9.0,Jacob,Bernard-Docker,D,https://assets.nhle.com/mugs/nhl/20232024/OTT/8480879.png,60,4,9,13,-4,23,0,0,44,0.090909,0,0,0,0
8480883,12.0,Ty,Smith,D,https://assets.nhle.com/mugs/nhl/20232024/CAR/8480883.png,9,1,3,4,3,4,0,0,27,0.037037,0,3,0,0
8480884,28.0,Calen,Addison,D,https://assets.nhle.com/mugs/nhl/20232024/SJS/8480884.png,61,1,16,17,-34,32,0,0,78,0.012821,0,9,0,0
8480887,8.0,Jordan,Harris,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8480887.png,46,2,8,10,-3,20,0,0,35,0.057143,0,0,0,0
8476792,19.0,Torey,Krug,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8476792.png,71,3,31,34,-26,30,1,0,154,0.019481,0,11,0,0
8478840,55.0,Will,Borgen,D,https://assets.nhle.com/mugs/nhl/20232024/SEA/8478840.png,71,2,22,24,-4,61,0,0,82,0.02439,0,0,0,0
8480890,53.0,Jan,Jenik,R,https://assets.nhle.com/mugs/nhl/20232024/ARI/8480890.png,1,0,0,0,-1,0,0,0,1,0.0,0,0,0,0
8478843,,Denis,Malgin,C,https://assets.nhle.com/mugs/nhl/latest/8478843.png,65,13,8,21,4,8,1,0,112,0.116071,0,1,0,0
8480891,53.0,Michael,Kesselring,D,https://assets.nhle.com/mugs/nhl/20232024/ARI/8480891.png,55,5,12,17,6,62,2,0,63,0.079365,0,0,0,0
8480893,29.0,Kirill,Marchenko,R,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8480893.png,68,18,16,34,-7,12,1,0,166,0.108434,8,11,0,0
8478846,23.0,Christian,Wolanin,D,https://assets.nhle.com/mugs/nhl/20232024/VAN/8478846.png,16,0,3,3,5,4,0,0,16,0.0,0,1,0,0
8478841,24.0,Colton,White,D,https://assets.nhle.com/mugs/nhl/20232024/ANA/8478841.png,46,0,6,6,-17,8,0,0,30,0.0,0,0,0,0
8478851,18.0,Alexandre,Carrier,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8478851.png,66,4,15,19,7,40,2,0,68,0.058824,0,1,1,1
8480901,2.0,Karson,Kuhlman,C,https://assets.nhle.com/mugs/nhl/20232024/NYI/8480901.png,47,3,4,7,-4,8,2,0,48,0.0625,0,0,0,0
8478856,23.0,Conor,Garland,R,https://assets.nhle.com/mugs/nhl/20232024/VAN/8478856.png,72,15,21,36,17,23,1,0,164,0.091463,0,2,0,0
8478859,13.0,Niko,Mikkola,D,https://assets.nhle.com/mugs/nhl/20232024/FLA/8478859.png,72,3,10,13,6,56,0,0,86,0.034884,0,0,0,1
8478864,30.0,Kirill,Kaprizov,L,https://assets.nhle.com/mugs/nhl/20232024/MIN/8478864.png,64,36,43,79,11,28,7,2,230,0.156522,13,34,0,0
8480913,18.0,Jordan,Gross,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8480913.png,15,3,0,3,-3,2,0,0,24,0.125,1,1,0,0
8482964,8.0,Arber,Xhekaj,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482964.png,40,3,6,9,6,73,0,0,55,0.054545,0,0,0,0
8476822,14.0,Luke,Glendening,C,https://assets.nhle.com/mugs/nhl/20232024/TBL/8476822.png,71,10,1,11,2,33,1,0,49,0.204082,0,0,1,1
8478870,,Rudolfs,Balcers,L,https://assets.nhle.com/mugs/nhl/latest/8478870.png,17,3,2,5,-1,4,0,0,24,0.125,0,0,0,0
8478873,24.0,Troy,Terry,R,https://assets.nhle.com/mugs/nhl/20232024/ANA/8478873.png,66,19,30,49,-10,20,5,1,152,0.125,3,11,0,0
8476826,55.0,Yanni,Gourde,C,https://assets.nhle.com/mugs/nhl/20232024/SEA/8476826.png,69,8,18,26,-13,60,0,0,134,0.059701,0,2,0,1
8479547,15.0,Matthew,Phillips,R,https://assets.nhle.com/mugs/nhl/20232024/WSH/8479547.png,31,1,4,5,-3,0,0,0,21,0.047619,0,0,0,0
8478881,16.0,Brett,Seney,L,https://assets.nhle.com/mugs/nhl/20232024/CHI/8478881.png,4,0,0,0,0,6,0,0,1,0.0,0,0,0,0
8478882,26.0,Vladislav,Gavrikov,D,https://assets.nhle.com/mugs/nhl/20232024/LAK/8478882.png,66,6,14,20,8,28,1,1,99,0.060606,0,0,0,1
8480935,,Lawrence,Pilut,D,https://assets.nhle.com/mugs/nhl/latest/8480935.png,17,1,2,3,-4,0,1,0,14,0.071429,0,0,0,0
8478891,52.0,Mason,Appleton,C,https://assets.nhle.com/mugs/nhl/20232024/WPG/8478891.png,72,14,19,33,13,26,2,0,109,0.12844,2,2,1,2
8476850,,Ryan,Murray,D,https://assets.nhle.com/mugs/nhl/latest/8476850.png,13,0,3,3,-4,4,0,0,8,0.0,0,0,0,0
8476851,,Alex,Galchenyuk,C,https://assets.nhle.com/mugs/nhl/latest/8476851.png,11,0,0,0,-8,4,0,0,8,0.0,0,0,0,0
8476853,10.0,Morgan,Rielly,D,https://assets.nhle.com/mugs/nhl/20232024/TOR/8476853.png,65,7,44,51,8,27,0,0,165,0.042424,1,16,0,0
8476854,6.0,Hampus,Lindholm,D,https://assets.nhle.com/mugs/nhl/20232024/BOS/8476854.png,64,1,23,24,15,57,0,0,86,0.011628,1,5,0,0
8480950,10.0,Ilya,Lyubushkin,D,https://assets.nhle.com/mugs/nhl/20232024/TOR/8480950.png,64,0,7,7,-11,53,0,0,42,0.0,0,0,0,0
