clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName,teamCommonName,teamAbbrev,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins
NaN,E,10,6,Eastern,2,5,2024-03-27,A,5,3,Atlantic,2,3,2,71,35,0.492958,226,261,3.676056,35,13,119,132,13,3,41,14,10,0,19,10,4,32,36,4,1,11,5,4,0,5,20,16,3,11,22,9,Toronto,0.626761,89,0.492958,35,0.394366,28,36,22,107,129,9,6,48,21,18,0,21,20232024,2,5,L,2,Toronto Maple Leafs,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,23,0,0.56338,40
NaN,W,9,6,Western,4,7,2024-03-27,P,4,2,Pacific,2,3,2,71,38,0.535211,185,223,3.140845,35,19,90,109,11,7,41,16,14,0,17,10,13,21,34,3,0,14,7,5,0,7,18,9,8,12,22,11,Los Angeles,0.612676,87,0.507042,36,0.450704,32,36,19,95,114,11,4,46,20,18,0,21,20232024,5,2,W,4,Los Angeles Kings,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,0,21,0,0.535211,38
NaN,W,5,7,Western,8,8,2024-03-27,P,3,3,Pacific,4,4,2,72,18,0.25,214,232,3.222222,36,26,91,117,11,2,48,20,18,0,23,10,2,29,31,3,1,13,6,4,0,6,8,12,16,13,25,8,Vegas,0.597222,86,0.486111,35,0.416667,30,36,-8,123,115,14,6,38,15,12,0,16,20232024,2,4,OT,1,Vegas Golden Knights,Golden Knights,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,0,19,2,0.541667,39
NaN,E,5,2,Eastern,8,6,2024-03-27,A,3,1,Atlantic,4,4,2,71,15,0.211268,235,250,3.521127,34,27,106,133,9,4,46,20,17,0,21,10,14,28,42,1,2,16,6,5,0,7,11,5,15,14,25,7,Tampa Bay,0.598592,85,0.507042,36,0.43662,31,37,-12,129,117,16,3,39,16,14,0,18,20232024,0,3,W,1,Tampa Bay Lightning,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,20,1,0.549296,39
NaN,E,11,10,Eastern,6,7,2024-03-27,M,6,5,Metropolitan,3,3,2,73,-9,-0.123288,226,217,2.972603,37,-8,114,106,15,3,41,17,15,0,19,10,-13,40,27,4,2,10,4,4,0,4,21,21,12,15,27,10,Philadelphia,0.561644,82,0.438356,32,0.383562,28,36,-1,112,111,12,7,41,15,13,0,17,20232024,3,4,OT,1,Philadelphia Flyers,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,0,17,0,0.493151,36
NaN,E,6,4,Eastern,10,8,2024-03-27,M,3,3,Metropolitan,5,4,2,71,-26,-0.366197,224,198,2.788732,36,-3,110,107,11,5,45,17,14,0,20,10,1,31,32,3,0,14,6,5,0,7,12,10,18,16,26,9,Washington,0.570423,81,0.450704,32,0.394366,28,35,-23,114,91,15,4,36,15,14,0,16,20232024,4,4,W,3,Washington Capitals,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,0,18,2,0.507042,36
NaN,W,7,8,Western,10,9,2024-03-27,C,4,5,Central,6,5,2,72,-9,-0.125,217,208,2.888889,35,12,100,112,12,2,44,19,17,0,21,10,4,26,30,3,1,13,5,4,0,6,13,13,20,17,30,4,St. Louis,0.555556,80,0.472222,34,0.388889,28,37,-21,117,96,18,2,36,15,11,0,17,20232024,1,4,OT,1,St. Louis Blues,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,0,16,3,0.527778,38
NaN,E,4,15,Eastern,13,9,2024-03-27,A,2,8,Atlantic,7,5,2,72,5,0.069444,240,245,3.402778,37,23,113,136,11,5,47,20,16,0,21,10,-11,38,27,6,1,7,3,2,0,3,10,27,25,18,29,7,Detroit,0.548611,79,0.472222,34,0.347222,25,35,-18,127,109,18,2,32,14,9,0,15,20232024,0,2,OT,1,Detroit Red Wings,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,15,3,0.5,36
NaN,W,10,5,Western,9,10,2024-03-27,C,6,4,Central,5,6,2,71,-10,-0.140845,230,220,3.098592,35,0,113,113,12,5,41,15,13,0,18,10,5,25,30,1,3,15,6,5,0,6,19,8,19,19,28,9,Minnesota,0.542254,77,0.43662,31,0.380282,27,36,-10,117,107,16,4,36,16,14,0,16,20232024,3,3,OT,1,Minnesota Wild,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,0,14,4,0.478873,34
NaN,E,13,9,Eastern,7,10,2024-03-27,M,7,4,Metropolitan,4,5,2,73,-6,-0.082192,247,241,3.30137,37,-12,133,121,18,2,36,17,14,0,17,10,5,27,32,5,0,10,5,5,0,5,25,19,14,20,33,4,New Jersey,0.520548,76,0.493151,36,0.424658,31,36,6,114,120,15,2,40,19,17,0,19,20232024,1,0,W,2,New Jersey Devils,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,12,4,0.493151,36
